date,product_name,final_price,is_missing
2025-12-23,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-24,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-25,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-26,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-27,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-01,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-04,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-19,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-22,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-26,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-28,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-01-30,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-02-03,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2026-02-27,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-20,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2025-12-21,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2025-12-22,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2025-12-24,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-01,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-04,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-08,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-09,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-10,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-11,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-12,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-13,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-14,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-15,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-16,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-17,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-19,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-22,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-26,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-28,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-29,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-01-30,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-02-03,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2026-02-27,Bánh sừng bò Bauli Moonfils Vanilla 47g,,True
2025-12-21,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-01,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-03,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-04,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-05,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-19,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-22,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-23,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-25,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-26,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-28,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-29,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-01-30,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-03,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-08,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-09,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-10,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-13,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-14,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-16,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-17,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-18,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-19,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-20,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-21,Sanwhich khoai tây gạo lứt Momiji 300g,,True
2026-02-22,Sanwhich khoai tây gạo lứt Momiji 300g,,True
