product_name,subcategory,parent_category
Bánh Bông lan Maruto Cheese 210g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh Bông lan Maruto Castella 191g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía trứng Bảo Minh gói 300g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Trà sữa Go Thái Sơn 330ml,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Trà xanh Go Thái Sơn 330ml,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh tráng mắm ruốc Vị gói 125g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh tráng sốt tôm Vị gói 125g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Da cá vị trứng muối Feddy G gói 25g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Da cá vị trứng muối Feddy gói 50g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chân gà vị mật ong Chef Biggy 30g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chân gà vị cay Chef Biggy 30g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chân giò hun khói Thanh Nga 300g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Da cá trứng muối cay Feddy 25g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Da cá trứng muối cay Feddy 50g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Thạch đen trân châu Thạch An ly 280g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Kim chi cải thảo cắt King 500g,Kim chi,Thực Phẩm Chế Biến
Kim chi cải thảo chay cắt King 500g,Kim chi,Thực Phẩm Chế Biến
Kim chi cải thảo cây cao cấp King gói 500g,Kim chi,Thực Phẩm Chế Biến
Xúc xích tiệt trùng Vissan trộn đều BBQ 3 cây,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích tiệt trùng Vissan lắc kêu phô mai 3 cây,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích lắc Heo Cao Bồi phô mai hộp 4 cây*15g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh cốm sầu riêng Bảo Minh 85g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,Bánh mì,Thực Phẩm Chế Biến
Kim chi cải thảo ngò Ông Kim's hộp 500g,Kim chi,Thực Phẩm Chế Biến
Xúc xích lắc phô mai bắp bơ Heo Cao Bồi 64g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
