brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
Binggrae,3,1,Sữa Tươi,100700.63856960408,99574.13793103448,98897.04980842912,102954.8275862069,0.5090984846426275,0.1808370870870871,0.1001252840223796,4057.777777777781,niche_professional
Grow,3,1,Chăm Sóc Bé,197670.93023255814,70612.79069767441,56842.558139534885,389322.5581395349,0.6666666666666666,0.08588917583868412,0.01231121419081623,332480.0,local_value
Thiên Lương,3,1,Thực Phẩm Chế Biến,79500.0,76000.0,67600.0,92800.0,0.0,,0.0,25200.0,local_value
Ovaltine,3,1,Sữa Tươi,29579.34636118598,32950.0,24304.716981132075,33505.71428571428,0.30920185684336626,0.1335680797025994,0.06360856067731088,9200.997304582208,prestige_leader
Malai,3,1,Thực Phẩm Chế Biến,36166.666666666664,35300.0,34740.0,37940.0,0.0,,0.0,3200.0,local_value
Thanh Hà,3,1,Gia Vị,97651.11111111111,112000.0,55322.66666666667,134240.0,0.0,,0.01551293006136544,78917.33333333333,local_value
Thanh Quốc,3,1,Gia Vị,109733.33333333333,107000.0,90120.0,130440.0,0.0,,0.0,40320.0,local_value
Làng Mơ,3,1,Trứng - Đậu Hũ,12966.666666666666,12000.0,11200.0,15120.0,0.0,,0.0,3920.0,local_value
Lof,3,1,Sữa Tươi,249444.44444444447,358800.0,96346.66666666667,358800.0,0.1111111111111111,0.17177914110429449,0.02887356893527721,262453.3333333333,niche_professional
Long Nhi,3,2,"Thực Phẩm Chế Biến, Thực Phẩm Đông Lạnh",70666.66666666667,74000.0,62000.0,78000.0,0.0,,0.0,16000.0,local_value
Chef Biggy,2,1,Thực Phẩm Chế Biến,10800.0,10800.0,10800.0,10800.0,0.0,,0.0,0.0,local_value
Đế Vương,2,1,Rau - Củ - Trái Cây,87200.0,87200.0,80800.0,93600.0,1.0,0.2,0.0,12800.0,local_value
Pepperidge Farm,2,1,Bánh Kẹo,109683.33333333333,109683.33333333333,109683.33333333333,109683.33333333333,0.8333333333333334,0.2148203592814371,0.10682321169712383,0.0,niche_professional
Ensure,2,1,Sữa Tươi,512650.0,512650.0,136770.0,888530.0,0.0,,0.0,751760.0,prestige_leader
Similac,2,1,Chăm Sóc Bé,67500.0,67500.0,57580.0,77420.0,1.0,0.0735177133498411,0.0,19840.0,prestige_leader
Wrigley,2,1,Bánh Kẹo,29831.1844077961,29831.1844077961,29434.06296851574,30228.305847076463,0.24737631184407796,0.16956362877127049,0.06723530023830993,794.2428785607226,niche_professional
Westgold,2,1,Sữa Tươi,121623.5294117647,121623.5294117647,121623.5294117647,121623.5294117647,0.058823529411764705,0.19024390243902442,0.04572033576275346,0.0,niche_professional
Tâm Hòa,2,1,Thực Phẩm Chế Biến,185550.0,185550.0,179990.0,191110.0,0.0,,0.0,11120.0,local_value
Devondale,2,1,Sữa Tươi,76691.21212121213,76691.21212121213,64884.909090909096,88497.51515151515,0.4121212121212121,0.2632576955944653,0.1450943833968888,23612.606060606056,niche_professional
Tinh Nguyên,2,1,Mì - Thực Phẩm Ăn Liền,18700.0,18700.0,17740.0,19660.0,0.0,,0.0,1920.0,local_value
Vinabee,2,1,Gia Vị,178100.0,178100.0,174340.0,181860.0,0.0,,0.0,7520.0,niche_professional
Vietcoco,2,1,Gia Vị,54350.0,54350.0,25270.0,83430.0,0.0,,0.0,58160.0,local_value
Doritos,2,1,Bánh Kẹo,31600.0,31600.0,31600.0,31600.0,0.0,,0.0,0.0,niche_professional
Tresor Dore,2,1,Bánh Kẹo,237000.0,237000.0,214600.0,259400.0,0.0,,0.0,44800.0,niche_professional
Taokeanoi,2,1,Bánh Kẹo,28750.0,28750.0,12630.0,44870.0,0.0,,0.0,32240.0,niche_professional
Vetrue,2,1,Bánh Kẹo,81950.0,81950.0,81910.0,81990.0,0.0,,0.0,80.0,local_value
Reeva,2,1,Mì - Thực Phẩm Ăn Liền,54700.0,54700.0,17660.0,91740.0,0.3,0.16129032258064516,0.044642857142857144,74080.0,local_value
