product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition
Phô mai Paysan camembert breton hộp 125g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,107000.0,107000.0,36,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai Prestige Camebert hộp 125g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,95000.0,95000.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai Vinamilk hộp 120g (8 miếng),Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,30801.5873015873,33900.0,63,0.6984126984126984,0.13086618396352911,0.06678894233051301,4,0.16095890410958913,1,0,1,20,14.666666666666666,0,Vinamilk,household_giant,0,1
Phô mai Zelachi cheddar gói 100g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,59500.0,59500.0,45,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai cheddar Kiwifood gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,107405.4054054054,107405.4054054054,37,0.0,,0.02347812735279218,2,0.11340206185567014,0,0,2,0,0.0,1,Kiwifood,local_value,0,0
Phô mai các loại hạt dinh dưỡng QBB 90g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,72847.27272727272,79400.0,55,0.6181818181818182,0.13350125944584382,0.07134498472317921,2,0.15406976744186052,1,0,1,16,11.333333333333334,0,Qbb,niche_professional,1,0
Phô mai cắt Emmetal 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,116881.81818181818,116881.81818181818,33,0.0,,0.00580845565878466,2,0.034482758620689724,0,0,2,0,0.0,1,,,0,0
Phô mai dây hun khói Solse gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,118345.45454545454,118800.0,44,0.045454545454545456,0.08417508417508418,0.01780440624025457,2,0.08417508417508412,1,0,1,2,2.0,0,Solse,local_value,0,0
Phô mai gói Edam 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,110419.35483870968,110419.35483870968,31,0.0,,0.020354940004090966,2,0.08823529411764697,0,0,2,0,0.0,1,,,0,0
Phô mai hun khói Solse sợi dê gói 100g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,77000.0,77000.0,35,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Solse,local_value,0,0
Phô mai lát Cheddar Anchor gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,67333.92857142857,74000.0,56,0.6071428571428571,0.1483704292527822,0.08245050506615745,4,0.2012987012987013,1,0,1,16,11.333333333333334,0,Anchor,niche_professional,1,0
Phô mai lát Hamburger Zott gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,60704.477611940296,67000.0,67,0.5522388059701493,0.1701492537313433,0.09408843512735009,2,0.20503597122302164,1,0,1,20,18.5,0,Zott,niche_professional,1,0
