product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition,is_branded,is_house_brand,import_origin,is_import,has_health_claim,has_freshness_claim,name_length,unit_type,pack_count,uncertain_pack_count,size_ml,size_g,ln_pack_size,price_per_100ml,price_per_100g,ln_price_per_unit,marked_price_per_100ml,marked_price_per_100g,ln_marked_price_per_unit
Lốc 4 hộp sữa hạt hạnh nhân TH true NUT 180ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,49910.52631578947,53500.0,57,0.543859649122807,0.1233644859813084,0.0664489106343067,2,0.1407249466950959,1,0,1,19,15.5,0,,,0,0,0,0,domestic,0,0,0,11,count,4,False,180.0,,5.19295685089021,6932.017543859649,,8.84390618168337,7430.555555555556,,8.913355906862089
Lốc 4 hộp sữa hạt và gạo lứt đỏ TH true NUT 180ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,53500.0,53500.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0,0,0,domestic,0,0,0,13,count,4,False,180.0,,5.19295685089021,7430.555555555556,,8.913355906862089,7430.555555555556,,8.913355906862089
Lốc 4 hộp sữa lúa mạch cacao NUVI có thạch 170ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,30780.0,33500.0,65,0.5230769230769231,0.1552238805970149,0.0850370857332259,2,0.1837455830388692,1,0,1,16,11.333333333333334,0,Nuvi,local_value,0,0,1,0,domestic,0,0,0,11,count,4,False,170.0,,5.135798437050262,4526.470588235295,,8.41769779521081,4926.470588235295,,8.502378105631097
Lốc 4 hộp sữa tiệt trùng Ba Vì có đường 180ml,Gói 4,Sữa tươi,Sữa Tươi,30855.31914893617,36000.0,47,0.6595744680851063,0.2166666666666666,0.1210814333002019,2,0.2765957446808511,1,0,1,31,31.0,0,Ba Vì,household_giant,0,1,1,0,domestic,0,0,0,11,count,4,False,180.0,,5.19295685089021,4285.4609929078015,,8.362983408187562,5000.0,,8.517193191416238
Lốc 4 hộp sữa tiệt trùng THTRUE MILK topkid 180ml,Gói 4,Sữa tươi,Sữa Tươi,58000.0,58000.0,34,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,TH True Milk,prestige_leader,1,1,1,0,domestic,0,0,0,10,count,4,False,180.0,,5.19295685089021,8055.555555555556,,8.994117263506547,8055.555555555556,,8.994117263506547
Lốc 4 hộp sữa tiệt trùng ít đường Nutimilk 100% Newzealand 180ml,Gói 4,Sữa tươi,Sữa Tươi,36100.0,36100.0,47,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,1,0,12,count,4,False,180.0,,5.19295685089021,5013.888888888889,,8.519967118298963,5013.888888888889,,8.519967118298963
Lốc 4 hộp sữa tươi tiệt trùng DALATMILK có đường 180ml,Gói 4,Sữa tươi,Sữa Tươi,37211.32075471698,37800.0,53,0.2264150943396226,0.0687830687830687,0.0295216894812082,2,0.0738636363636364,1,0,1,9,6.0,0,Dalat Milk,prestige_leader,1,1,1,0,domestic,0,0,1,11,count,4,False,180.0,,5.19295685089021,5168.238993710692,,8.550287289306235,5250.0,,8.565983355585669
Lốc 4 hộp sữa tươi tiệt trùng Lothamilk ít đường 180ml,Gói 4,Sữa tươi,Sữa Tươi,35200.0,35200.0,45,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Lothamilk,local_value,0,0,1,0,domestic,0,1,1,11,count,4,False,180.0,,5.19295685089021,4888.888888888889,,8.494720335564178,4888.888888888889,,8.494720335564178
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 có đường 180ml,Gói 4,Sữa tươi,Sữa Tươi,26002.17391304348,33900.0,92,1.0,0.2329742208541746,0.0085707331583089,2,0.0235294117647058,1,1,1,92,92.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,1,11,count,4,False,180.0,,5.19295685089021,3611.413043478261,,8.191854399526452,4708.333333333333,,8.457089267346532
Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 ít đường 180ml,Gói 4,Sữa tươi,Sữa Tươi,26002.17391304348,33900.0,92,1.0,0.2329742208541746,0.0085707331583089,2,0.0235294117647058,1,1,1,92,92.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,1,1,11,count,4,False,180.0,,5.19295685089021,3611.413043478261,,8.191854399526452,4708.333333333333,,8.457089267346532
