date,parent_category,generic_final,branded_final,gap_abs_final,gap_pct_final,branded_marked,generic_marked,gap_abs_marked,gap_pct_marked
2025-12-31,Chăm Sóc Bé,60900.0,76800.0,15900.0,26.108374384236456,81950.0,129000.0,-47050.0,-36.47286821705427
2025-12-31,Gia Vị,74700.0,38950.0,-35750.0,-47.85809906291834,40200.0,79300.0,-39100.0,-49.30643127364439
2025-12-31,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2025-12-31,Rau - Củ - Trái Cây,34500.0,47400.0,12900.0,37.391304347826086,47400.0,34500.0,12900.0,37.391304347826086
2025-12-31,Sữa Tươi,28300.0,37900.0,9600.0,33.92226148409894,42500.0,33500.0,9000.0,26.865671641791046
2025-12-31,Thực Phẩm Chế Biến,28600.0,33900.0,5300.0,18.53146853146853,38800.0,33000.0,5800.0,17.575757575757574
2025-12-31,Thực Phẩm Khô,48050.0,51000.0,2950.0,6.139438085327783,51200.0,50300.0,900.0,1.7892644135188867
2025-12-31,Thực Phẩm Đông Lạnh,77700.0,73850.0,-3850.0,-4.954954954954955,75300.0,84200.0,-8900.0,-10.570071258907364
2025-12-31,Trứng - Đậu Hũ,21100.0,35000.0,13900.0,65.87677725118483,35000.0,21100.0,13900.0,65.87677725118483
2026-01-01,Chăm Sóc Bé,60900.0,76800.0,15900.0,26.108374384236456,81950.0,129000.0,-47050.0,-36.47286821705427
2026-01-01,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2026-01-01,Sữa Tươi,6200.0,28200.0,22000.0,354.83870967741933,36000.0,8000.0,28000.0,350.0
2026-01-01,Thực Phẩm Khô,47100.0,51000.0,3900.0,8.280254777070063,51100.0,49000.0,2100.0,4.285714285714286
2026-01-01,Thực Phẩm Đông Lạnh,71000.0,77900.0,6900.0,9.71830985915493,84800.0,83800.0,1000.0,1.1933174224343674
2026-01-02,Chăm Sóc Bé,60900.0,76800.0,15900.0,26.108374384236456,81950.0,129000.0,-47050.0,-36.47286821705427
2026-01-02,Gia Vị,78650.0,39700.0,-38950.0,-49.523204068658615,40450.0,78650.0,-38200.0,-48.569612205975844
2026-01-02,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2026-01-02,Rau - Củ - Trái Cây,39000.0,47400.0,8400.0,21.53846153846154,47400.0,39000.0,8400.0,21.53846153846154
2026-01-02,Sữa Tươi,53500.0,36100.0,-17400.0,-32.52336448598131,36500.0,53500.0,-17000.0,-31.775700934579437
2026-01-02,Thực Phẩm Chế Biến,34900.0,38300.0,3400.0,9.742120343839542,38900.0,34900.0,4000.0,11.461318051575931
2026-01-02,Thực Phẩm Khô,47100.0,51600.0,4500.0,9.554140127388536,52300.0,49000.0,3300.0,6.73469387755102
2026-01-02,Thực Phẩm Đông Lạnh,77000.0,74000.0,-3000.0,-3.896103896103896,75700.0,83800.0,-8100.0,-9.665871121718377
2026-01-02,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
2026-01-03,Chăm Sóc Bé,60900.0,76800.0,15900.0,26.108374384236456,81950.0,129000.0,-47050.0,-36.47286821705427
