product_name,subcategory,parent_category
Thùng 40 gói mì xào khô Goreng indomie đặc biệt 85g,Mì,Mì - Thực Phẩm Ăn Liền
Mì xào khô vị bò cay Indomie gói 91g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 40 gói mì xào khô vị cay nồng Goreng Pedas indomie 79g,Mì,Mì - Thực Phẩm Ăn Liền
Mì sợi tròn spaghetti Golden Farm gói 500g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 40 gói mì xào khô ăn liền vị sườn Goreng Rasa Iga Penyet Indomie 80g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói hương vị sa tế hành tím Hảo Hảo 75g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền vị gà vàng Hảo Hảo 74g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền Doraemon vị bò cuộn phô mai Acecook 62g,Mì,Mì - Thực Phẩm Ăn Liền
Bún khô Thu Dung làm từ gạo lứt 500g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền vị sườn heo tỏi phi Hảo Hảo 73g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo tươi Saigonfood thịt thăm và bí đỏ 270g/240g,Cháo,Mì - Thực Phẩm Ăn Liền
Phở chay rau nấm Vifon gói 65g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Bánh gạo Topokki cay ngọt Young Poong hộp 140g,Mì,Mì - Thực Phẩm Ăn Liền
Mì hộp ăn liền Cung Đình Kool Micoem Spaghetti sốt bò bằm bát 105g,Mì,Mì - Thực Phẩm Ăn Liền
Mì ly đại Kokomi tôm chua cay có thịt 90g,Mì,Mì - Thực Phẩm Ăn Liền
Mì xào NISSIN hương vị gà cay Hàn quốc gói 71g,Mì,Mì - Thực Phẩm Ăn Liền
Cháo SGFood bổ dưỡng bồ câu yến mạch hạt sen 240g,Cháo,Mì - Thực Phẩm Ăn Liền
Tokpokki Hàn Quốc vị chua ngọt hộp 105g,Mì,Mì - Thực Phẩm Ăn Liền
Miến Phú Hương Hương vị Gà gói 53g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Cháo thịt bò Vifon gói 70g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì trộn trứng muối cay Vifon gói 105g,Mì,Mì - Thực Phẩm Ăn Liền
Mì Yeul Cay Ottgi lốc 5 gói,Mì,Mì - Thực Phẩm Ăn Liền
Soup Marukome Miso rong biển 152g,Cháo,Mì - Thực Phẩm Ăn Liền
Soup Marukome Miso rong biển đậu hũ 152g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì Khô Gà Cay Vị Cream Carbonara gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Miến khô Vifon gói 300g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Hoàng Gia Miến Cua Vifon gói 105g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Tokpokki vị truyền thống Miwon gói 300g,Mì,Mì - Thực Phẩm Ăn Liền
Tokpokki vị phô mai Miwon gói 300g,Mì,Mì - Thực Phẩm Ăn Liền
Mì khô gà phô mai Quattro Samyang gói 145g,Mì,Mì - Thực Phẩm Ăn Liền
Hảo Hảo Mì lẩu kim chi Hàn Quốc 75g,Mì,Mì - Thực Phẩm Ăn Liền
Phở tươi thịt bò hầm LC Foods 90g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Mì xốt tương đen Ottogi 75g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trộn Ottogi BBQ vị bò 75g,Mì,Mì - Thực Phẩm Ăn Liền
Lốc 5 gói Mì Nongshim Ramyun 120g,Mì,Mì - Thực Phẩm Ăn Liền
Phở bò LC Food 75g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở Bò Chin Su Story 72g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở Bò Chin su Story có thịt gói 131g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
